date,volume_t-19,volume_t-2,volume_t-18,volume_t-15,volume_t-3,volume
2013-08-01,2572391,2807402,3476214,1978819,2791858,2745041
2013-08-02,3476214,2745041,3277684,2433181,2807402,2387817
2013-08-05,3277684,2387817,2131803,2026749,2745041,1875418
2013-08-06,2131803,1875418,1978819,1196543,2387817,2280909
2013-08-07,1978819,2280909,2433181,1999719,1875418,1702122
2013-08-08,2433181,1702122,2026749,1179308,2280909,1702407
2013-08-09,2026749,1702407,1196543,1836733,1702122,1958449
2013-08-12,1196543,1958449,1999719,2934199,1702407,1247241
2013-08-13,1999719,1247241,1179308,1831121,1958449,2078213
2013-08-14,1179308,2078213,1836733,1420233,1247241,1989871
2013-08-15,1836733,1989871,2934199,3694988,2078213,6708341
2013-08-16,2934199,6708341,1831121,1962142,1989871,3624694
2013-08-19,1831121,3624694,1420233,2791858,6708341,1727559
2013-08-20,1420233,1727559,3694988,2807402,3624694,2294328
2013-08-21,3694988,2294328,1962142,2745041,1727559,1949054
2013-08-22,1962142,1949054,2791858,2387817,2294328,3147986
2013-08-23,2791858,3147986,2807402,1875418,1949054,1702511
2013-08-26,2807402,1702511,2745041,2280909,3147986,2012701
2013-08-27,2745041,2012701,2387817,1702122,1702511,2138064
2013-08-28,2387817,2138064,1875418,1702407,2012701,1590425
2013-08-29,1875418,1590425,2280909,1958449,2138064,1900662
2013-08-30,2280909,1900662,1702122,1247241,1590425,1358573
2013-09-03,1702122,1358573,1702407,2078213,1900662,1565632
2013-09-04,1702407,1565632,1958449,1989871,1358573,2522043
2013-09-05,1958449,2522043,1247241,6708341,1565632,1313188
2013-09-06,1247241,1313188,2078213,3624694,2522043,1332857
2013-09-09,2078213,1332857,1989871,1727559,1313188,1668867
2013-09-10,1989871,1668867,6708341,2294328,1332857,1821283
2013-09-11,6708341,1821283,3624694,1949054,1668867,1783424
2013-09-12,3624694,1783424,1727559,3147986,1821283,1468485
2013-09-13,1727559,1468485,2294328,1702511,1783424,2141143
2013-09-16,2294328,2141143,1949054,2012701,1468485,1861513
2013-09-17,1949054,1861513,3147986,2138064,2141143,1578387
2013-09-18,3147986,1578387,1702511,1590425,1861513,2044234
2013-09-19,1702511,2044234,2012701,1900662,1578387,18146408
2013-09-20,2012701,18146408,2138064,1358573,2044234,10692052
2013-09-23,2138064,10692052,1590425,1565632,18146408,2716907
2013-09-24,1590425,2716907,1900662,2522043,10692052,2185721
2013-09-25,1900662,2185721,1358573,1313188,2716907,2865074
2013-09-26,1358573,2865074,1565632,1332857,2185721,2680307
2013-09-27,1565632,2680307,2522043,1668867,2865074,2110103
2013-09-30,2522043,2110103,1313188,1821283,2680307,2650001
2013-10-01,1313188,2650001,1332857,1783424,2110103,2997047
2013-10-02,1332857,2997047,1668867,1468485,2650001,2020794
2013-10-03,1668867,2020794,1821283,2141143,2997047,1878510
2013-10-04,1821283,1878510,1783424,1861513,2020794,1867889
2013-10-07,1783424,1867889,1468485,1578387,1878510,1382107
2013-10-08,1468485,1382107,2141143,2044234,1867889,2415258
2013-10-09,2141143,2415258,1861513,18146408,1382107,2430595
2013-10-10,1861513,2430595,1578387,10692052,2415258,2426300
2013-10-11,1578387,2426300,2044234,2716907,2430595,1500903
2013-10-14,2044234,1500903,18146408,2185721,2426300,2110504
2013-10-15,18146408,2110504,10692052,2865074,1500903,1961896
2013-10-16,10692052,1961896,2716907,2680307,2110504,2450818
2013-10-17,2716907,2450818,2185721,2110103,1961896,3548418
2013-10-18,2185721,3548418,2865074,2650001,2450818,2880870
2013-10-21,2865074,2880870,2680307,2997047,3548418,2556379
2013-10-22,2680307,2556379,2110103,2020794,2880870,4280543
2013-10-23,2110103,4280543,2650001,1878510,2556379,2348591
2013-10-24,2650001,2348591,2997047,1867889,4280543,1785894
2013-10-25,2997047,1785894,2020794,1382107,2348591,2398266
2013-10-28,2020794,2398266,1878510,2415258,1785894,1778672
2013-10-29,1878510,1778672,1867889,2430595,2398266,1193955
2013-10-30,1867889,1193955,1382107,2426300,1778672,1360046
2013-10-31,1382107,1360046,2415258,1500903,1193955,1895510
2013-11-01,2415258,1895510,2430595,2110504,1360046,1931035
2013-11-04,2430595,1931035,2426300,1961896,1895510,1409928
2013-11-05,2426300,1409928,1500903,2450818,1931035,1578131
2013-11-06,1500903,1578131,2110504,3548418,1409928,1432940
2013-11-07,2110504,1432940,1961896,2880870,1578131,3548823
2013-11-08,1961896,3548823,2450818,2556379,1432940,1860654
2013-11-11,2450818,1860654,3548418,4280543,3548823,1984482
2013-11-12,3548418,1984482,2880870,2348591,1860654,2357218
2013-11-13,2880870,2357218,2556379,1785894,1984482,2110086
2013-11-14,2556379,2110086,4280543,2398266,2357218,2825818
2013-11-15,4280543,2825818,2348591,1778672,2110086,11014343
2013-11-18,2348591,11014343,1785894,1193955,2825818,4131521
2013-11-19,1785894,4131521,2398266,1360046,11014343,2473023
2013-11-20,2398266,2473023,1778672,1895510,4131521,2321500
2013-11-21,1778672,2321500,1193955,1931035,2473023,2417644
2013-11-22,1193955,2417644,1360046,1409928,2321500,1910762
2013-11-25,1360046,1910762,1895510,1578131,2417644,1750170
2013-11-26,1895510,1750170,1931035,1432940,1910762,3196344
2013-11-27,1931035,3196344,1409928,3548823,1750170,1189764
2013-11-29,1409928,1189764,1578131,1860654,3196344,870409
2013-12-02,1578131,870409,1432940,1984482,1189764,1459197
2013-12-03,1432940,1459197,3548823,2357218,870409,2478051
2013-12-04,3548823,2478051,1860654,2110086,1459197,2415795
2013-12-05,1860654,2415795,1984482,2825818,2478051,1810391
2013-12-06,1984482,1810391,2357218,11014343,2415795,3053347
2013-12-09,2357218,3053347,2110086,4131521,1810391,2118503
2013-12-10,2110086,2118503,2825818,2473023,3053347,2326895
2013-12-11,2825818,2326895,11014343,2321500,2118503,2349926
2013-12-12,11014343,2349926,4131521,2417644,2326895,2714297
2013-12-13,4131521,2714297,2473023,1910762,2349926,2022610
2013-12-16,2473023,2022610,2321500,1750170,2714297,1685454
2013-12-17,2321500,1685454,2417644,3196344,2022610,3209227
2013-12-18,2417644,3209227,1910762,1189764,1685454,4136283
2013-12-19,1910762,4136283,1750170,870409,3209227,1893211
2013-12-20,1750170,1893211,3196344,1459197,4136283,2954031
2013-12-23,3196344,2954031,1189764,2478051,1893211,1578464
2013-12-24,1189764,1578464,870409,2415795,2954031,779696
2013-12-26,870409,779696,1459197,1810391,1578464,714431
2013-12-27,1459197,714431,2478051,3053347,779696,653055
2013-12-30,2478051,653055,2415795,2118503,714431,1127980
2013-12-31,2415795,1127980,1810391,2326895,653055,941447
2014-01-02,1810391,941447,3053347,2349926,1127980,1916160
2014-01-03,3053347,1916160,2118503,2714297,941447,1866651
2014-01-06,2118503,1866651,2326895,2022610,1916160,1777472
2014-01-07,2326895,1777472,2349926,1685454,1866651,1463208
2014-01-08,2349926,1463208,2714297,3209227,1777472,2659468
2014-01-09,2714297,2659468,2022610,4136283,1463208,1757647
2014-01-10,2022610,1757647,1685454,1893211,2659468,1623330
2014-01-13,1685454,1623330,3209227,2954031,1757647,2946738
2014-01-14,3209227,2946738,4136283,1578464,1623330,2562236
2014-01-15,4136283,2562236,1893211,779696,2946738,2335194
2014-01-16,1893211,2335194,2954031,714431,2562236,1835957
2014-01-17,2954031,1835957,1578464,653055,2335194,1699534
2014-01-21,1578464,1699534,779696,1127980,1835957,3008458
2014-01-22,779696,3008458,714431,941447,1699534,2769350
2014-01-23,714431,2769350,653055,1916160,3008458,3063559
2014-01-24,653055,3063559,1127980,1866651,2769350,2656341
2014-01-27,1127980,2656341,941447,1777472,3063559,4669012
2014-01-28,941447,4669012,1916160,1463208,2656341,2536290
2014-01-29,1916160,2536290,1866651,2659468,4669012,2163031
2014-01-30,1866651,2163031,1777472,1757647,2536290,3743153
2014-01-31,1777472,3743153,1463208,1623330,2163031,3529054
2014-02-03,1463208,3529054,2659468,2946738,3743153,2929252
2014-02-04,2659468,2929252,1757647,2562236,3529054,2911877
2014-02-05,1757647,2911877,1623330,2335194,2929252,2283870
2014-02-06,1623330,2283870,2946738,1835957,2911877,1609451
2014-02-07,2946738,1609451,2562236,1699534,2283870,1975290
2014-02-10,2562236,1975290,2335194,3008458,1609451,1760468
2014-02-11,2335194,1760468,1835957,2769350,1975290,2148202
2014-02-12,1835957,2148202,1699534,3063559,1760468,2347270
2014-02-13,1699534,2347270,3008458,2656341,2148202,3097011
2014-02-14,3008458,3097011,2769350,4669012,2347270,17862776
2014-02-18,2769350,17862776,3063559,2536290,3097011,6553839
2014-02-19,3063559,6553839,2656341,2163031,17862776,4838795
2014-02-20,2656341,4838795,4669012,3743153,6553839,4629755
2014-02-21,4669012,4629755,2536290,3529054,4838795,2407171
2014-02-24,2536290,2407171,2163031,2929252,4629755,2392783
2014-02-25,2163031,2392783,3743153,2911877,2407171,3375173
2014-02-26,3743153,3375173,3529054,2283870,2392783,2400946
2014-02-27,3529054,2400946,2929252,1609451,3375173,3123781
2014-02-28,2929252,3123781,2911877,1975290,2400946,2876261
2014-03-03,2911877,2876261,2283870,1760468,3123781,2488373
2014-03-04,2283870,2488373,1609451,2148202,2876261,2841919
2014-03-05,1609451,2841919,1975290,2347270,2488373,3113546
2014-03-06,1975290,3113546,1760468,3097011,2841919,5178833
2014-03-07,1760468,5178833,2148202,17862776,3113546,3247154
2014-03-10,2148202,3247154,2347270,6553839,5178833,2563418
2014-03-11,2347270,2563418,3097011,4838795,3247154,3421731
2014-03-12,3097011,3421731,17862776,4629755,2563418,1652324
2014-03-13,17862776,1652324,6553839,2407171,3421731,2318832
2014-03-14,6553839,2318832,4838795,2392783,1652324,1745218
2014-03-17,4838795,1745218,4629755,3375173,2318832,1437471
2014-03-18,4629755,1437471,2407171,2400946,1745218,1294681
2014-03-19,2407171,1294681,2392783,3123781,1437471,1804350
2014-03-20,2392783,1804350,3375173,2876261,1294681,1808447
2014-03-21,3375173,1808447,2400946,2488373,1804350,2762931
2014-03-24,2400946,2762931,3123781,2841919,1808447,1985703
2014-03-25,3123781,1985703,2876261,3113546,2762931,1727269
2014-03-26,2876261,1727269,2488373,5178833,1985703,2560731
2014-03-27,2488373,2560731,2841919,3247154,1727269,2972614
2014-03-28,2841919,2972614,3113546,2563418,2560731,2006941
2014-03-31,3113546,2006941,5178833,3421731,2972614,2190772
2014-04-01,5178833,2190772,3247154,1652324,2006941,2090720
2014-04-02,3247154,2090720,2563418,2318832,2190772,1919493
2014-04-03,2563418,1919493,3421731,1745218,2090720,1603010
2014-04-04,3421731,1603010,1652324,1437471,1919493,2307668
2014-04-07,1652324,2307668,2318832,1294681,1603010,2584538
2014-04-08,2318832,2584538,1745218,1804350,2307668,1842491
2014-04-09,1745218,1842491,1437471,1808447,2584538,2017519
2014-04-10,1437471,2017519,1294681,2762931,1842491,1966409
2014-04-11,1294681,1966409,1804350,1985703,2017519,2591968
2014-04-14,1804350,2591968,1808447,1727269,1966409,2840577
2014-04-15,1808447,2840577,2762931,2560731,2591968,2172515
2014-04-16,2762931,2172515,1985703,2972614,2840577,1243513
2014-04-17,1985703,1243513,1727269,2006941,2172515,2061997
2014-04-21,1727269,2061997,2560731,2190772,1243513,1185867
2014-04-22,2560731,1185867,2972614,2090720,2061997,1475541
2014-04-23,2972614,1475541,2006941,1919493,1185867,894232
2014-04-24,2006941,894232,2190772,1603010,1475541,1806441
2014-04-25,2190772,1806441,2090720,2307668,894232,1580495
2014-04-28,2090720,1580495,1919493,2584538,1806441,3009046
2014-04-29,1919493,3009046,1603010,1842491,1580495,3359741
2014-04-30,1603010,3359741,2307668,2017519,3009046,1678627
2014-05-01,2307668,1678627,2584538,1966409,3359741,1472407
2014-05-02,2584538,1472407,1842491,2591968,1678627,2080946
2014-05-05,1842491,2080946,2017519,2840577,1472407,2087256
2014-05-06,2017519,2087256,1966409,2172515,2080946,2224227
2014-05-07,1966409,2224227,2591968,1243513,2087256,2219204
2014-05-08,2591968,2219204,2840577,2061997,2224227,2209139
2014-05-09,2840577,2209139,2172515,1185867,2219204,1287905
2014-05-12,2172515,1287905,1243513,1475541,2209139,2042132
2014-05-13,1243513,2042132,2061997,894232,1287905,1465527
2014-05-14,2061997,1465527,1185867,1806441,2042132,2591684
