date,volume_t-20,volume_t-19,volume_t-18,volume_t-17,volume_t-16,volume_t-15,volume_t-14,volume_t-13,volume_t-12,volume_t-11,volume_t-10,volume_t-9,volume_t-8,volume_t-7,volume_t-6,volume_t-5,volume_t-4,volume_t-3,volume_t-2,volume_t-1,volume
2013-04-25,2147900,2541331,2354390,5278950,3918841,4959134,2395400,1659420,2169261,5626492,6083564,7750724,4505330,4492937,3976804,3075803,2340457,3522419,3020692,2119838,2119838
2013-04-26,2541331,2354390,5278950,3918841,4959134,2395400,1659420,2169261,5626492,6083564,7750724,4505330,4492937,3976804,3075803,2340457,3522419,3020692,2119838,5283798,5283798
2013-04-29,2354390,5278950,3918841,4959134,2395400,1659420,2169261,5626492,6083564,7750724,4505330,4492937,3976804,3075803,2340457,3522419,3020692,2119838,5283798,2541961,2541961
2013-04-30,5278950,3918841,4959134,2395400,1659420,2169261,5626492,6083564,7750724,4505330,4492937,3976804,3075803,2340457,3522419,3020692,2119838,5283798,2541961,3451449,3451449
2013-05-01,3918841,4959134,2395400,1659420,2169261,5626492,6083564,7750724,4505330,4492937,3976804,3075803,2340457,3522419,3020692,2119838,5283798,2541961,3451449,2726213,2726213
2013-05-02,4959134,2395400,1659420,2169261,5626492,6083564,7750724,4505330,4492937,3976804,3075803,2340457,3522419,3020692,2119838,5283798,2541961,3451449,2726213,3437642,3437642
2013-05-03,2395400,1659420,2169261,5626492,6083564,7750724,4505330,4492937,3976804,3075803,2340457,3522419,3020692,2119838,5283798,2541961,3451449,2726213,3437642,4741565,4741565
2013-05-06,1659420,2169261,5626492,6083564,7750724,4505330,4492937,3976804,3075803,2340457,3522419,3020692,2119838,5283798,2541961,3451449,2726213,3437642,4741565,2819360,2819360
2013-05-07,2169261,5626492,6083564,7750724,4505330,4492937,3976804,3075803,2340457,3522419,3020692,2119838,5283798,2541961,3451449,2726213,3437642,4741565,2819360,3524022,3524022
2013-05-08,5626492,6083564,7750724,4505330,4492937,3976804,3075803,2340457,3522419,3020692,2119838,5283798,2541961,3451449,2726213,3437642,4741565,2819360,3524022,2119765,2119765
2013-05-09,6083564,7750724,4505330,4492937,3976804,3075803,2340457,3522419,3020692,2119838,5283798,2541961,3451449,2726213,3437642,4741565,2819360,3524022,2119765,3159293,3159293
2013-05-10,7750724,4505330,4492937,3976804,3075803,2340457,3522419,3020692,2119838,5283798,2541961,3451449,2726213,3437642,4741565,2819360,3524022,2119765,3159293,4662252,4662252
2013-05-13,4505330,4492937,3976804,3075803,2340457,3522419,3020692,2119838,5283798,2541961,3451449,2726213,3437642,4741565,2819360,3524022,2119765,3159293,4662252,4260335,4260335
2013-05-14,4492937,3976804,3075803,2340457,3522419,3020692,2119838,5283798,2541961,3451449,2726213,3437642,4741565,2819360,3524022,2119765,3159293,4662252,4260335,6075845,6075845
2013-05-15,3976804,3075803,2340457,3522419,3020692,2119838,5283798,2541961,3451449,2726213,3437642,4741565,2819360,3524022,2119765,3159293,4662252,4260335,6075845,10289000,10289000
2013-05-16,3075803,2340457,3522419,3020692,2119838,5283798,2541961,3451449,2726213,3437642,4741565,2819360,3524022,2119765,3159293,4662252,4260335,6075845,10289000,4890962,4890962
2013-05-17,2340457,3522419,3020692,2119838,5283798,2541961,3451449,2726213,3437642,4741565,2819360,3524022,2119765,3159293,4662252,4260335,6075845,10289000,4890962,3247851,3247851
2013-05-20,3522419,3020692,2119838,5283798,2541961,3451449,2726213,3437642,4741565,2819360,3524022,2119765,3159293,4662252,4260335,6075845,10289000,4890962,3247851,5698804,5698804
2013-05-21,3020692,2119838,5283798,2541961,3451449,2726213,3437642,4741565,2819360,3524022,2119765,3159293,4662252,4260335,6075845,10289000,4890962,3247851,5698804,4020941,4020941
2013-05-22,2119838,5283798,2541961,3451449,2726213,3437642,4741565,2819360,3524022,2119765,3159293,4662252,4260335,6075845,10289000,4890962,3247851,5698804,4020941,5421887,5421887
2013-05-23,5283798,2541961,3451449,2726213,3437642,4741565,2819360,3524022,2119765,3159293,4662252,4260335,6075845,10289000,4890962,3247851,5698804,4020941,5421887,3777408,3777408
2013-05-24,2541961,3451449,2726213,3437642,4741565,2819360,3524022,2119765,3159293,4662252,4260335,6075845,10289000,4890962,3247851,5698804,4020941,5421887,3777408,2225361,2225361
2013-05-28,3451449,2726213,3437642,4741565,2819360,3524022,2119765,3159293,4662252,4260335,6075845,10289000,4890962,3247851,5698804,4020941,5421887,3777408,2225361,4793962,4793962
2013-05-29,2726213,3437642,4741565,2819360,3524022,2119765,3159293,4662252,4260335,6075845,10289000,4890962,3247851,5698804,4020941,5421887,3777408,2225361,4793962,3621114,3621114
2013-05-30,3437642,4741565,2819360,3524022,2119765,3159293,4662252,4260335,6075845,10289000,4890962,3247851,5698804,4020941,5421887,3777408,2225361,4793962,3621114,3090824,3090824
2013-05-31,4741565,2819360,3524022,2119765,3159293,4662252,4260335,6075845,10289000,4890962,3247851,5698804,4020941,5421887,3777408,2225361,4793962,3621114,3090824,4609273,4609273
2013-06-03,2819360,3524022,2119765,3159293,4662252,4260335,6075845,10289000,4890962,3247851,5698804,4020941,5421887,3777408,2225361,4793962,3621114,3090824,4609273,3677473,3677473
2013-06-04,3524022,2119765,3159293,4662252,4260335,6075845,10289000,4890962,3247851,5698804,4020941,5421887,3777408,2225361,4793962,3621114,3090824,4609273,3677473,3364296,3364296
2013-06-05,2119765,3159293,4662252,4260335,6075845,10289000,4890962,3247851,5698804,4020941,5421887,3777408,2225361,4793962,3621114,3090824,4609273,3677473,3364296,2495073,2495073
2013-06-06,3159293,4662252,4260335,6075845,10289000,4890962,3247851,5698804,4020941,5421887,3777408,2225361,4793962,3621114,3090824,4609273,3677473,3364296,2495073,3781151,3781151
2013-06-07,4662252,4260335,6075845,10289000,4890962,3247851,5698804,4020941,5421887,3777408,2225361,4793962,3621114,3090824,4609273,3677473,3364296,2495073,3781151,2781171,2781171
2013-06-10,4260335,6075845,10289000,4890962,3247851,5698804,4020941,5421887,3777408,2225361,4793962,3621114,3090824,4609273,3677473,3364296,2495073,3781151,2781171,2730800,2730800
2013-06-11,6075845,10289000,4890962,3247851,5698804,4020941,5421887,3777408,2225361,4793962,3621114,3090824,4609273,3677473,3364296,2495073,3781151,2781171,2730800,3914328,3914328
2013-06-12,10289000,4890962,3247851,5698804,4020941,5421887,3777408,2225361,4793962,3621114,3090824,4609273,3677473,3364296,2495073,3781151,2781171,2730800,3914328,2730633,2730633
2013-06-13,4890962,3247851,5698804,4020941,5421887,3777408,2225361,4793962,3621114,3090824,4609273,3677473,3364296,2495073,3781151,2781171,2730800,3914328,2730633,2594941,2594941
2013-06-14,3247851,5698804,4020941,5421887,3777408,2225361,4793962,3621114,3090824,4609273,3677473,3364296,2495073,3781151,2781171,2730800,3914328,2730633,2594941,1677669,1677669
2013-06-17,5698804,4020941,5421887,3777408,2225361,4793962,3621114,3090824,4609273,3677473,3364296,2495073,3781151,2781171,2730800,3914328,2730633,2594941,1677669,2000122,2000122
2013-06-18,4020941,5421887,3777408,2225361,4793962,3621114,3090824,4609273,3677473,3364296,2495073,3781151,2781171,2730800,3914328,2730633,2594941,1677669,2000122,2522376,2522376
2013-06-19,5421887,3777408,2225361,4793962,3621114,3090824,4609273,3677473,3364296,2495073,3781151,2781171,2730800,3914328,2730633,2594941,1677669,2000122,2522376,5805826,5805826
2013-06-20,3777408,2225361,4793962,3621114,3090824,4609273,3677473,3364296,2495073,3781151,2781171,2730800,3914328,2730633,2594941,1677669,2000122,2522376,5805826,6307980,6307980
2013-06-21,2225361,4793962,3621114,3090824,4609273,3677473,3364296,2495073,3781151,2781171,2730800,3914328,2730633,2594941,1677669,2000122,2522376,5805826,6307980,3656145,3656145
2013-06-24,4793962,3621114,3090824,4609273,3677473,3364296,2495073,3781151,2781171,2730800,3914328,2730633,2594941,1677669,2000122,2522376,5805826,6307980,3656145,2871453,2871453
2013-06-25,3621114,3090824,4609273,3677473,3364296,2495073,3781151,2781171,2730800,3914328,2730633,2594941,1677669,2000122,2522376,5805826,6307980,3656145,2871453,2939595,2939595
2013-06-26,3090824,4609273,3677473,3364296,2495073,3781151,2781171,2730800,3914328,2730633,2594941,1677669,2000122,2522376,5805826,6307980,3656145,2871453,2939595,3693707,3693707
2013-06-27,4609273,3677473,3364296,2495073,3781151,2781171,2730800,3914328,2730633,2594941,1677669,2000122,2522376,5805826,6307980,3656145,2871453,2939595,3693707,3447018,3447018
2013-06-28,3677473,3364296,2495073,3781151,2781171,2730800,3914328,2730633,2594941,1677669,2000122,2522376,5805826,6307980,3656145,2871453,2939595,3693707,3447018,5556673,5556673
2013-07-01,3364296,2495073,3781151,2781171,2730800,3914328,2730633,2594941,1677669,2000122,2522376,5805826,6307980,3656145,2871453,2939595,3693707,3447018,5556673,4283821,4283821
2013-07-02,2495073,3781151,2781171,2730800,3914328,2730633,2594941,1677669,2000122,2522376,5805826,6307980,3656145,2871453,2939595,3693707,3447018,5556673,4283821,2986405,2986405
2013-07-03,3781151,2781171,2730800,3914328,2730633,2594941,1677669,2000122,2522376,5805826,6307980,3656145,2871453,2939595,3693707,3447018,5556673,4283821,2986405,1940832,1940832
2013-07-05,2781171,2730800,3914328,2730633,2594941,1677669,2000122,2522376,5805826,6307980,3656145,2871453,2939595,3693707,3447018,5556673,4283821,2986405,1940832,2100873,2100873
2013-07-08,2730800,3914328,2730633,2594941,1677669,2000122,2522376,5805826,6307980,3656145,2871453,2939595,3693707,3447018,5556673,4283821,2986405,1940832,2100873,2572391,2572391
2013-07-09,3914328,2730633,2594941,1677669,2000122,2522376,5805826,6307980,3656145,2871453,2939595,3693707,3447018,5556673,4283821,2986405,1940832,2100873,2572391,3476214,3476214
