date,volume_t-19,volume_t-20,volume_t-16,volume_t-18,volume_t-17,volume
2013-08-01,2572391,2100873,2131803,3476214,3277684,2745041
2013-08-02,3476214,2572391,1978819,3277684,2131803,2387817
2013-08-05,3277684,3476214,2433181,2131803,1978819,1875418
2013-08-06,2131803,3277684,2026749,1978819,2433181,2280909
2013-08-07,1978819,2131803,1196543,2433181,2026749,1702122
2013-08-08,2433181,1978819,1999719,2026749,1196543,1702407
2013-08-09,2026749,2433181,1179308,1196543,1999719,1958449
2013-08-12,1196543,2026749,1836733,1999719,1179308,1247241
2013-08-13,1999719,1196543,2934199,1179308,1836733,2078213
2013-08-14,1179308,1999719,1831121,1836733,2934199,1989871
2013-08-15,1836733,1179308,1420233,2934199,1831121,6708341
2013-08-16,2934199,1836733,3694988,1831121,1420233,3624694
2013-08-19,1831121,2934199,1962142,1420233,3694988,1727559
2013-08-20,1420233,1831121,2791858,3694988,1962142,2294328
2013-08-21,3694988,1420233,2807402,1962142,2791858,1949054
2013-08-22,1962142,3694988,2745041,2791858,2807402,3147986
2013-08-23,2791858,1962142,2387817,2807402,2745041,1702511
2013-08-26,2807402,2791858,1875418,2745041,2387817,2012701
2013-08-27,2745041,2807402,2280909,2387817,1875418,2138064
2013-08-28,2387817,2745041,1702122,1875418,2280909,1590425
2013-08-29,1875418,2387817,1702407,2280909,1702122,1900662
2013-08-30,2280909,1875418,1958449,1702122,1702407,1358573
2013-09-03,1702122,2280909,1247241,1702407,1958449,1565632
2013-09-04,1702407,1702122,2078213,1958449,1247241,2522043
2013-09-05,1958449,1702407,1989871,1247241,2078213,1313188
2013-09-06,1247241,1958449,6708341,2078213,1989871,1332857
2013-09-09,2078213,1247241,3624694,1989871,6708341,1668867
2013-09-10,1989871,2078213,1727559,6708341,3624694,1821283
2013-09-11,6708341,1989871,2294328,3624694,1727559,1783424
2013-09-12,3624694,6708341,1949054,1727559,2294328,1468485
2013-09-13,1727559,3624694,3147986,2294328,1949054,2141143
2013-09-16,2294328,1727559,1702511,1949054,3147986,1861513
2013-09-17,1949054,2294328,2012701,3147986,1702511,1578387
2013-09-18,3147986,1949054,2138064,1702511,2012701,2044234
2013-09-19,1702511,3147986,1590425,2012701,2138064,18146408
2013-09-20,2012701,1702511,1900662,2138064,1590425,10692052
2013-09-23,2138064,2012701,1358573,1590425,1900662,2716907
2013-09-24,1590425,2138064,1565632,1900662,1358573,2185721
2013-09-25,1900662,1590425,2522043,1358573,1565632,2865074
2013-09-26,1358573,1900662,1313188,1565632,2522043,2680307
2013-09-27,1565632,1358573,1332857,2522043,1313188,2110103
2013-09-30,2522043,1565632,1668867,1313188,1332857,2650001
2013-10-01,1313188,2522043,1821283,1332857,1668867,2997047
2013-10-02,1332857,1313188,1783424,1668867,1821283,2020794
2013-10-03,1668867,1332857,1468485,1821283,1783424,1878510
2013-10-04,1821283,1668867,2141143,1783424,1468485,1867889
2013-10-07,1783424,1821283,1861513,1468485,2141143,1382107
2013-10-08,1468485,1783424,1578387,2141143,1861513,2415258
2013-10-09,2141143,1468485,2044234,1861513,1578387,2430595
2013-10-10,1861513,2141143,18146408,1578387,2044234,2426300
2013-10-11,1578387,1861513,10692052,2044234,18146408,1500903
2013-10-14,2044234,1578387,2716907,18146408,10692052,2110504
2013-10-15,18146408,2044234,2185721,10692052,2716907,1961896
