date,volume_t-1,volume_t-5,volume_t-18,volume_t-17,volume_t-15,volume
2013-08-01,2745041,3694988,3476214,3277684,1978819,2745041
2013-08-02,2387817,1962142,3277684,2131803,2433181,2387817
2013-08-05,1875418,2791858,2131803,1978819,2026749,1875418
2013-08-06,2280909,2807402,1978819,2433181,1196543,2280909
2013-08-07,1702122,2745041,2433181,2026749,1999719,1702122
2013-08-08,1702407,2387817,2026749,1196543,1179308,1702407
2013-08-09,1958449,1875418,1196543,1999719,1836733,1958449
2013-08-12,1247241,2280909,1999719,1179308,2934199,1247241
2013-08-13,2078213,1702122,1179308,1836733,1831121,2078213
2013-08-14,1989871,1702407,1836733,2934199,1420233,1989871
2013-08-15,6708341,1958449,2934199,1831121,3694988,6708341
2013-08-16,3624694,1247241,1831121,1420233,1962142,3624694
2013-08-19,1727559,2078213,1420233,3694988,2791858,1727559
2013-08-20,2294328,1989871,3694988,1962142,2807402,2294328
2013-08-21,1949054,6708341,1962142,2791858,2745041,1949054
2013-08-22,3147986,3624694,2791858,2807402,2387817,3147986
2013-08-23,1702511,1727559,2807402,2745041,1875418,1702511
2013-08-26,2012701,2294328,2745041,2387817,2280909,2012701
2013-08-27,2138064,1949054,2387817,1875418,1702122,2138064
2013-08-28,1590425,3147986,1875418,2280909,1702407,1590425
2013-08-29,1900662,1702511,2280909,1702122,1958449,1900662
2013-08-30,1358573,2012701,1702122,1702407,1247241,1358573
2013-09-03,1565632,2138064,1702407,1958449,2078213,1565632
2013-09-04,2522043,1590425,1958449,1247241,1989871,2522043
2013-09-05,1313188,1900662,1247241,2078213,6708341,1313188
2013-09-06,1332857,1358573,2078213,1989871,3624694,1332857
2013-09-09,1668867,1565632,1989871,6708341,1727559,1668867
2013-09-10,1821283,2522043,6708341,3624694,2294328,1821283
2013-09-11,1783424,1313188,3624694,1727559,1949054,1783424
2013-09-12,1468485,1332857,1727559,2294328,3147986,1468485
2013-09-13,2141143,1668867,2294328,1949054,1702511,2141143
2013-09-16,1861513,1821283,1949054,3147986,2012701,1861513
2013-09-17,1578387,1783424,3147986,1702511,2138064,1578387
2013-09-18,2044234,1468485,1702511,2012701,1590425,2044234
2013-09-19,18146408,2141143,2012701,2138064,1900662,18146408
2013-09-20,10692052,1861513,2138064,1590425,1358573,10692052
2013-09-23,2716907,1578387,1590425,1900662,1565632,2716907
2013-09-24,2185721,2044234,1900662,1358573,2522043,2185721
2013-09-25,2865074,18146408,1358573,1565632,1313188,2865074
2013-09-26,2680307,10692052,1565632,2522043,1332857,2680307
2013-09-27,2110103,2716907,2522043,1313188,1668867,2110103
2013-09-30,2650001,2185721,1313188,1332857,1821283,2650001
2013-10-01,2997047,2865074,1332857,1668867,1783424,2997047
2013-10-02,2020794,2680307,1668867,1821283,1468485,2020794
2013-10-03,1878510,2110103,1821283,1783424,2141143,1878510
2013-10-04,1867889,2650001,1783424,1468485,1861513,1867889
2013-10-07,1382107,2997047,1468485,2141143,1578387,1382107
2013-10-08,2415258,2020794,2141143,1861513,2044234,2415258
2013-10-09,2430595,1878510,1861513,1578387,18146408,2430595
2013-10-10,2426300,1867889,1578387,2044234,10692052,2426300
2013-10-11,1500903,1382107,2044234,18146408,2716907,1500903
2013-10-14,2110504,2415258,18146408,10692052,2185721,2110504
2013-10-15,1961896,2430595,10692052,2716907,2865074,1961896
2013-10-16,2450818,2426300,2716907,2185721,2680307,2450818
2013-10-17,3548418,1500903,2185721,2865074,2110103,3548418
2013-10-18,2880870,2110504,2865074,2680307,2650001,2880870
2013-10-21,2556379,1961896,2680307,2110103,2997047,2556379
2013-10-22,4280543,2450818,2110103,2650001,2020794,4280543
2013-10-23,2348591,3548418,2650001,2997047,1878510,2348591
2013-10-24,1785894,2880870,2997047,2020794,1867889,1785894
2013-10-25,2398266,2556379,2020794,1878510,1382107,2398266
2013-10-28,1778672,4280543,1878510,1867889,2415258,1778672
2013-10-29,1193955,2348591,1867889,1382107,2430595,1193955
2013-10-30,1360046,1785894,1382107,2415258,2426300,1360046
2013-10-31,1895510,2398266,2415258,2430595,1500903,1895510
2013-11-01,1931035,1778672,2430595,2426300,2110504,1931035
2013-11-04,1409928,1193955,2426300,1500903,1961896,1409928
2013-11-05,1578131,1360046,1500903,2110504,2450818,1578131
2013-11-06,1432940,1895510,2110504,1961896,3548418,1432940
2013-11-07,3548823,1931035,1961896,2450818,2880870,3548823
2013-11-08,1860654,1409928,2450818,3548418,2556379,1860654
2013-11-11,1984482,1578131,3548418,2880870,4280543,1984482
2013-11-12,2357218,1432940,2880870,2556379,2348591,2357218
2013-11-13,2110086,3548823,2556379,4280543,1785894,2110086
2013-11-14,2825818,1860654,4280543,2348591,2398266,2825818
2013-11-15,11014343,1984482,2348591,1785894,1778672,11014343
2013-11-18,4131521,2357218,1785894,2398266,1193955,4131521
2013-11-19,2473023,2110086,2398266,1778672,1360046,2473023
2013-11-20,2321500,2825818,1778672,1193955,1895510,2321500
2013-11-21,2417644,11014343,1193955,1360046,1931035,2417644
2013-11-22,1910762,4131521,1360046,1895510,1409928,1910762
2013-11-25,1750170,2473023,1895510,1931035,1578131,1750170
2013-11-26,3196344,2321500,1931035,1409928,1432940,3196344
