date,volume_t-16,volume_t-19,volume_t-7,volume_t-10,volume_t-18,volume
2014-10-27,1157370,2481276,3810818,3972861,1708052,1105293
2014-10-28,1515558,1708052,4942206,4723905,1577280,1714329
2014-10-29,2124682,1577280,2231876,5362096,1157370,1484268
2014-10-30,2526263,1157370,2161086,3810818,1515558,2504261
2014-10-31,5133638,1515558,1754719,4942206,2124682,2087828
2014-11-03,2527277,2124682,1508194,2231876,2526263,4559916
2014-11-04,3972861,2526263,1105293,2161086,5133638,5765189
2014-11-05,4723905,5133638,1714329,1754719,2527277,2341387
2014-11-06,5362096,2527277,1484268,1508194,3972861,2968264
2014-11-07,3810818,3972861,2504261,1105293,4723905,2458734
2014-11-10,4942206,4723905,2087828,1714329,5362096,2583931
2014-11-11,2231876,5362096,4559916,1484268,3810818,2163823
2014-11-12,2161086,3810818,5765189,2504261,4942206,2504261
2014-11-13,1754719,4942206,2341387,2087828,2231876,1805461
2014-11-14,1508194,2231876,2968264,4559916,2161086,1331282
2014-11-17,1105293,2161086,2458734,5765189,1754719,2697164
2014-11-18,1714329,1754719,2583931,2341387,1508194,5891377
2014-11-19,1484268,1508194,2163823,2968264,1105293,4012147
2014-11-20,2504261,1105293,2504261,2458734,1714329,2303826
2014-11-21,2087828,1714329,1805461,2583931,1484268,5306170
2014-11-24,4559916,1484268,1331282,2163823,2504261,2122424
2014-11-25,5765189,2504261,2697164,2504261,2087828,2713879
2014-11-26,2341387,2087828,5891377,1805461,4559916,1752695
2014-11-28,2968264,4559916,4012147,1331282,5765189,1091780
2014-12-01,2458734,5765189,2303826,2697164,2341387,4411159
2014-12-02,2583931,2341387,5306170,5891377,2968264,2014436
2014-12-03,2163823,2968264,2122424,4012147,2458734,2250275
2014-12-04,2504261,2458734,2713879,2303826,2583931,1346823
2014-12-05,1805461,2583931,1752695,5306170,2163823,1019549
2014-12-08,1331282,2163823,1091780,2122424,2504261,1425753
2014-12-09,2697164,2504261,4411159,2713879,1805461,1803210
2014-12-10,5891377,1805461,2014436,1752695,1331282,2654911
2014-12-11,4012147,1331282,2250275,1091780,2697164,1640864
2014-12-12,2303826,2697164,1346823,4411159,5891377,2335765
2014-12-15,5306170,5891377,1019549,2014436,4012147,4510349
