date,volume_t-16,volume_t-19,volume_t-7,volume_t-10,volume_t-18,volume
2013-08-01,2131803,2572391,1831121,1179308,3476214,2745041
2013-08-02,1978819,3476214,1420233,1836733,3277684,2387817
2013-08-05,2433181,3277684,3694988,2934199,2131803,1875418
2013-08-06,2026749,2131803,1962142,1831121,1978819,2280909
2013-08-07,1196543,1978819,2791858,1420233,2433181,1702122
2013-08-08,1999719,2433181,2807402,3694988,2026749,1702407
2013-08-09,1179308,2026749,2745041,1962142,1196543,1958449
2013-08-12,1836733,1196543,2387817,2791858,1999719,1247241
2013-08-13,2934199,1999719,1875418,2807402,1179308,2078213
2013-08-14,1831121,1179308,2280909,2745041,1836733,1989871
2013-08-15,1420233,1836733,1702122,2387817,2934199,6708341
2013-08-16,3694988,2934199,1702407,1875418,1831121,3624694
2013-08-19,1962142,1831121,1958449,2280909,1420233,1727559
2013-08-20,2791858,1420233,1247241,1702122,3694988,2294328
2013-08-21,2807402,3694988,2078213,1702407,1962142,1949054
2013-08-22,2745041,1962142,1989871,1958449,2791858,3147986
2013-08-23,2387817,2791858,6708341,1247241,2807402,1702511
2013-08-26,1875418,2807402,3624694,2078213,2745041,2012701
2013-08-27,2280909,2745041,1727559,1989871,2387817,2138064
2013-08-28,1702122,2387817,2294328,6708341,1875418,1590425
2013-08-29,1702407,1875418,1949054,3624694,2280909,1900662
2013-08-30,1958449,2280909,3147986,1727559,1702122,1358573
2013-09-03,1247241,1702122,1702511,2294328,1702407,1565632
2013-09-04,2078213,1702407,2012701,1949054,1958449,2522043
2013-09-05,1989871,1958449,2138064,3147986,1247241,1313188
2013-09-06,6708341,1247241,1590425,1702511,2078213,1332857
2013-09-09,3624694,2078213,1900662,2012701,1989871,1668867
2013-09-10,1727559,1989871,1358573,2138064,6708341,1821283
2013-09-11,2294328,6708341,1565632,1590425,3624694,1783424
2013-09-12,1949054,3624694,2522043,1900662,1727559,1468485
2013-09-13,3147986,1727559,1313188,1358573,2294328,2141143
2013-09-16,1702511,2294328,1332857,1565632,1949054,1861513
2013-09-17,2012701,1949054,1668867,2522043,3147986,1578387
2013-09-18,2138064,3147986,1821283,1313188,1702511,2044234
2013-09-19,1590425,1702511,1783424,1332857,2012701,18146408
2013-09-20,1900662,2012701,1468485,1668867,2138064,10692052
2013-09-23,1358573,2138064,2141143,1821283,1590425,2716907
2013-09-24,1565632,1590425,1861513,1783424,1900662,2185721
2013-09-25,2522043,1900662,1578387,1468485,1358573,2865074
2013-09-26,1313188,1358573,2044234,2141143,1565632,2680307
2013-09-27,1332857,1565632,18146408,1861513,2522043,2110103
2013-09-30,1668867,2522043,10692052,1578387,1313188,2650001
2013-10-01,1821283,1313188,2716907,2044234,1332857,2997047
2013-10-02,1783424,1332857,2185721,18146408,1668867,2020794
2013-10-03,1468485,1668867,2865074,10692052,1821283,1878510
2013-10-04,2141143,1821283,2680307,2716907,1783424,1867889
2013-10-07,1861513,1783424,2110103,2185721,1468485,1382107
2013-10-08,1578387,1468485,2650001,2865074,2141143,2415258
2013-10-09,2044234,2141143,2997047,2680307,1861513,2430595
2013-10-10,18146408,1861513,2020794,2110103,1578387,2426300
2013-10-11,10692052,1578387,1878510,2650001,2044234,1500903
2013-10-14,2716907,2044234,1867889,2997047,18146408,2110504
2013-10-15,2185721,18146408,1382107,2020794,10692052,1961896
2013-10-16,2865074,10692052,2415258,1878510,2716907,2450818
2013-10-17,2680307,2716907,2430595,1867889,2185721,3548418
2013-10-18,2110103,2185721,2426300,1382107,2865074,2880870
2013-10-21,2650001,2865074,1500903,2415258,2680307,2556379
2013-10-22,2997047,2680307,2110504,2430595,2110103,4280543
2013-10-23,2020794,2110103,1961896,2426300,2650001,2348591
2013-10-24,1878510,2650001,2450818,1500903,2997047,1785894
2013-10-25,1867889,2997047,3548418,2110504,2020794,2398266
2013-10-28,1382107,2020794,2880870,1961896,1878510,1778672
2013-10-29,2415258,1878510,2556379,2450818,1867889,1193955
2013-10-30,2430595,1867889,4280543,3548418,1382107,1360046
2013-10-31,2426300,1382107,2348591,2880870,2415258,1895510
2013-11-01,1500903,2415258,1785894,2556379,2430595,1931035
2013-11-04,2110504,2430595,2398266,4280543,2426300,1409928
2013-11-05,1961896,2426300,1778672,2348591,1500903,1578131
2013-11-06,2450818,1500903,1193955,1785894,2110504,1432940
2013-11-07,3548418,2110504,1360046,2398266,1961896,3548823
2013-11-08,2880870,1961896,1895510,1778672,2450818,1860654
2013-11-11,2556379,2450818,1931035,1193955,3548418,1984482
2013-11-12,4280543,3548418,1409928,1360046,2880870,2357218
2013-11-13,2348591,2880870,1578131,1895510,2556379,2110086
2013-11-14,1785894,2556379,1432940,1931035,4280543,2825818
2013-11-15,2398266,4280543,3548823,1409928,2348591,11014343
2013-11-18,1778672,2348591,1860654,1578131,1785894,4131521
2013-11-19,1193955,1785894,1984482,1432940,2398266,2473023
