date,volume_t-4,volume_t-3,low_t-2,volume_t-2,low_t-1,volume
2013-07-15,3277684,2131803,45.5838,1978819,45.68,2433181
2013-07-16,2131803,1978819,45.68,2433181,45.775,2026749
2013-07-17,1978819,2433181,45.775,2026749,45.57,1196543
2013-07-18,2433181,2026749,45.57,1196543,45.55,1999719
2013-07-19,2026749,1196543,45.55,1999719,45.69,1179308
2013-07-22,1196543,1999719,45.69,1179308,46.1,1836733
2013-07-23,1999719,1179308,46.1,1836733,46.31,2934199
2013-07-24,1179308,1836733,46.31,2934199,46.495,1831121
2013-07-25,1836733,2934199,46.495,1831121,46.39,1420233
2013-07-26,2934199,1831121,46.39,1420233,45.4322,3694988
2013-07-29,1831121,1420233,45.4322,3694988,44.98,1962142
2013-07-30,1420233,3694988,44.98,1962142,44.82,2791858
2013-07-31,3694988,1962142,44.82,2791858,44.66,2807402
2013-08-01,1962142,2791858,44.66,2807402,45.32,2745041
2013-08-02,2791858,2807402,45.32,2745041,45.9901,2387817
2013-08-05,2807402,2745041,45.9901,2387817,45.8,1875418
2013-08-06,2745041,2387817,45.8,1875418,45.61,2280909
2013-08-07,2387817,1875418,45.61,2280909,45.62,1702122
2013-08-08,1875418,2280909,45.62,1702122,45.64,1702407
2013-08-09,2280909,1702122,45.64,1702407,45.81,1958449
2013-08-12,1702122,1702407,45.81,1958449,45.72,1247241
2013-08-13,1702407,1958449,45.72,1247241,46.24,2078213
2013-08-14,1958449,1247241,46.24,2078213,46.37,1989871
2013-08-15,1247241,2078213,46.37,1989871,46.85,6708341
2013-08-16,2078213,1989871,46.85,6708341,46.52,3624694
2013-08-19,1989871,6708341,46.52,3624694,46.42,1727559
2013-08-20,6708341,3624694,46.42,1727559,46.17,2294328
2013-08-21,3624694,1727559,46.17,2294328,46.64,1949054
2013-08-22,1727559,2294328,46.64,1949054,46.8,3147986
2013-08-23,2294328,1949054,46.8,3147986,47.54,1702511
2013-08-26,1949054,3147986,47.54,1702511,47.39,2012701
2013-08-27,3147986,1702511,47.39,2012701,46.8,2138064
2013-08-28,1702511,2012701,46.8,2138064,46.51,1590425
2013-08-29,2012701,2138064,46.51,1590425,46.42,1900662
2013-08-30,2138064,1590425,46.42,1900662,46.37,1358573
2013-09-03,1590425,1900662,46.37,1358573,46.615,1565632
2013-09-04,1900662,1358573,46.615,1565632,46.74,2522043
2013-09-05,1358573,1565632,46.74,2522043,47.58,1313188
2013-09-06,1565632,2522043,47.58,1313188,47.13,1332857
2013-09-09,2522043,1313188,47.13,1332857,47.29,1668867
2013-09-10,1313188,1332857,47.29,1668867,48.04,1821283
2013-09-11,1332857,1668867,48.04,1821283,48.22,1783424
2013-09-12,1668867,1821283,48.22,1783424,48.49,1468485
2013-09-13,1821283,1783424,48.49,1468485,48.23,2141143
2013-09-16,1783424,1468485,48.23,2141143,48.58,1861513
2013-09-17,1468485,2141143,48.58,1861513,48.62,1578387
2013-09-18,2141143,1861513,48.62,1578387,48.29,2044234
2013-09-19,1861513,1578387,48.29,2044234,50.749,18146408
2013-09-20,1578387,2044234,50.749,18146408,50.98,10692052
2013-09-23,2044234,18146408,50.98,10692052,51.38,2716907
2013-09-24,18146408,10692052,51.38,2716907,51.2,2185721
2013-09-25,10692052,2716907,51.2,2185721,51.44,2865074
2013-09-26,2716907,2185721,51.44,2865074,51.46,2680307
2013-09-27,2185721,2865074,51.46,2680307,51.4,2110103
2013-09-30,2865074,2680307,51.4,2110103,50.75,2650001
2013-10-01,2680307,2110103,50.75,2650001,50.7,2997047
2013-10-02,2110103,2650001,50.7,2997047,51.15,2020794
2013-10-03,2650001,2997047,51.15,2020794,50.91,1878510
2013-10-04,2997047,2020794,50.91,1878510,51.07,1867889
2013-10-07,2020794,1878510,51.07,1867889,51.07,1382107
2013-10-08,1878510,1867889,51.07,1382107,49.89,2415258
2013-10-09,1867889,1382107,49.89,2415258,49.39,2430595
2013-10-10,1382107,2415258,49.39,2430595,50.29,2426300
2013-10-11,2415258,2430595,50.29,2426300,50.66,1500903
2013-10-14,2430595,2426300,50.66,1500903,50.51,2110504
2013-10-15,2426300,1500903,50.51,2110504,50.6,1961896
2013-10-16,1500903,2110504,50.6,1961896,50.94,2450818
2013-10-17,2110504,1961896,50.94,2450818,51.13,3548418
2013-10-18,1961896,2450818,51.13,3548418,52.63,2880870
2013-10-21,2450818,3548418,52.63,2880870,51.9,2556379
2013-10-22,3548418,2880870,51.9,2556379,50.84,4280543
2013-10-23,2880870,2556379,50.84,4280543,50.3,2348591
2013-10-24,2556379,4280543,50.3,2348591,50.67,1785894
2013-10-25,4280543,2348591,50.67,1785894,51.09,2398266
2013-10-28,2348591,1785894,51.09,2398266,51.12,1778672
2013-10-29,1785894,2398266,51.12,1778672,51.23,1193955
2013-10-30,2398266,1778672,51.23,1193955,50.86,1360046
2013-10-31,1778672,1193955,50.86,1360046,50.45,1895510
2013-11-01,1193955,1360046,50.45,1895510,50.84,1931035
2013-11-04,1360046,1895510,50.84,1931035,50.95,1409928
2013-11-05,1895510,1931035,50.95,1409928,50.854,1578131
2013-11-06,1931035,1409928,50.854,1578131,50.8,1432940
2013-11-07,1409928,1578131,50.8,1432940,49.84,3548823
2013-11-08,1578131,1432940,49.84,3548823,50.01,1860654
2013-11-11,1432940,3548823,50.01,1860654,50.518,1984482
2013-11-12,3548823,1860654,50.518,1984482,50.76,2357218
2013-11-13,1860654,1984482,50.76,2357218,50.66,2110086
2013-11-14,1984482,2357218,50.66,2110086,50.36,2825818
2013-11-15,2357218,2110086,50.36,2825818,53.6902,11014343
2013-11-18,2110086,2825818,53.6902,11014343,53.67,4131521
2013-11-19,2825818,11014343,53.67,4131521,53.55,2473023
2013-11-20,11014343,4131521,53.55,2473023,53.465,2321500
2013-11-21,4131521,2473023,53.465,2321500,53.7,2417644
2013-11-22,2473023,2321500,53.7,2417644,53.75,1910762
2013-11-25,2321500,2417644,53.75,1910762,53.02,1750170
2013-11-26,2417644,1910762,53.02,1750170,53.23,3196344
2013-11-27,1910762,1750170,53.23,3196344,53.64,1189764
2013-11-29,1750170,3196344,53.64,1189764,53.46,870409
2013-12-02,3196344,1189764,53.46,870409,53.11,1459197
2013-12-03,1189764,870409,53.11,1459197,52.56,2478051
2013-12-04,870409,1459197,52.56,2478051,52.72,2415795
2013-12-05,1459197,2478051,52.72,2415795,53.115,1810391
2013-12-06,2478051,2415795,53.115,1810391,53.76,3053347
2013-12-09,2415795,1810391,53.76,3053347,54.74,2118503
2013-12-10,1810391,3053347,54.74,2118503,54.63,2326895
2013-12-11,3053347,2118503,54.63,2326895,54.68,2349926
2013-12-12,2118503,2326895,54.68,2349926,54.3,2714297
2013-12-13,2326895,2349926,54.3,2714297,54.9,2022610
2013-12-16,2349926,2714297,54.9,2022610,55.07,1685454
2013-12-17,2714297,2022610,55.07,1685454,55.81,3209227
2013-12-18,2022610,1685454,55.81,3209227,56.37,4136283
2013-12-19,1685454,3209227,56.37,4136283,57.07,1893211
2013-12-20,3209227,4136283,57.07,1893211,56.91,2954031
2013-12-23,4136283,1893211,56.91,2954031,57.12,1578464
2013-12-24,1893211,2954031,57.12,1578464,57.17,779696
2013-12-26,2954031,1578464,57.17,779696,57.24,714431
2013-12-27,1578464,779696,57.24,714431,57.12,653055
2013-12-30,779696,714431,57.12,653055,56.92,1127980
2013-12-31,714431,653055,56.92,1127980,57.08,941447
2014-01-02,653055,1127980,57.08,941447,56.15,1916160
2014-01-03,1127980,941447,56.15,1916160,56.26,1866651
2014-01-06,941447,1916160,56.26,1866651,56.56,1777472
2014-01-07,1916160,1866651,56.56,1777472,56.93,1463208
2014-01-08,1866651,1777472,56.93,1463208,57.17,2659468
2014-01-09,1777472,1463208,57.17,2659468,57.87,1757647
2014-01-10,1463208,2659468,57.87,1757647,58.14,1623330
2014-01-13,2659468,1757647,58.14,1623330,58.6,2946738
2014-01-14,1757647,1623330,58.6,2946738,59.02,2562236
2014-01-15,1623330,2946738,59.02,2562236,59.585,2335194
2014-01-16,2946738,2562236,59.585,2335194,60.04,1835957
2014-01-17,2562236,2335194,60.04,1835957,60.33,1699534
2014-01-21,2335194,1835957,60.33,1699534,59.86,3008458
2014-01-22,1835957,1699534,59.86,3008458,60.71,2769350
2014-01-23,1699534,3008458,60.71,2769350,59.405,3063559
2014-01-24,3008458,2769350,59.405,3063559,57.71,2656341
2014-01-27,2769350,3063559,57.71,2656341,56.98,4669012
2014-01-28,3063559,2656341,56.98,4669012,57.91,2536290
2014-01-29,2656341,4669012,57.91,2536290,57.41,2163031
2014-01-30,4669012,2536290,57.41,2163031,58.42,3743153
2014-01-31,2536290,2163031,58.42,3743153,58.05,3529054
2014-02-03,2163031,3743153,58.05,3529054,56.075,2929252
2014-02-04,3743153,3529054,56.075,2929252,56.09,2911877
2014-02-05,3529054,2929252,56.09,2911877,56.96,2283870
2014-02-06,2929252,2911877,56.96,2283870,57.46,1609451
2014-02-07,2911877,2283870,57.46,1609451,58.13,1975290
2014-02-10,2283870,1609451,58.13,1975290,58.29,1760468
2014-02-11,1609451,1975290,58.29,1760468,58.88,2148202
2014-02-12,1975290,1760468,58.88,2148202,59.67,2347270
2014-02-13,1760468,2148202,59.67,2347270,59.37,3097011
2014-02-14,2148202,2347270,59.37,3097011,54.87,17862776
2014-02-18,2347270,3097011,54.87,17862776,54.96,6553839
2014-02-19,3097011,17862776,54.96,6553839,54.9,4838795
2014-02-20,17862776,6553839,54.9,4838795,56.045,4629755
2014-02-21,6553839,4838795,56.045,4629755,56.32,2407171
2014-02-24,4838795,4629755,56.32,2407171,56.4,2392783
2014-02-25,4629755,2407171,56.4,2392783,56.75,3375173
2014-02-26,2407171,2392783,56.75,3375173,56.75,2400946
2014-02-27,2392783,3375173,56.75,2400946,56.19,3123781
2014-02-28,3375173,2400946,56.19,3123781,56.4,2876261
2014-03-03,2400946,3123781,56.4,2876261,55.785,2488373
2014-03-04,3123781,2876261,55.785,2488373,56.98,2841919
2014-03-05,2876261,2488373,56.98,2841919,57.555,3113546
2014-03-06,2488373,2841919,57.555,3113546,58.14,5178833
2014-03-07,2841919,3113546,58.14,5178833,57.52,3247154
2014-03-10,3113546,5178833,57.52,3247154,57.6,2563418
2014-03-11,5178833,3247154,57.6,2563418,56.5,3421731
2014-03-12,3247154,2563418,56.5,3421731,56.01,1652324
2014-03-13,2563418,3421731,56.01,1652324,55.77,2318832
2014-03-14,3421731,1652324,55.77,2318832,55.23,1745218
2014-03-17,1652324,2318832,55.23,1745218,55.48,1437471
2014-03-18,2318832,1745218,55.48,1437471,55.84,1294681
2014-03-19,1745218,1437471,55.84,1294681,56.18,1804350
2014-03-20,1437471,1294681,56.18,1804350,56.16,1808447
2014-03-21,1294681,1804350,56.16,1808447,55.96,2762931
2014-03-24,1804350,1808447,55.96,2762931,54.66,1985703
2014-03-25,1808447,2762931,54.66,1985703,54.98,1727269
