date,volume_t-1,volume
2014-01-10,1623330,1623330
2014-01-13,2946738,2946738
2014-01-14,2562236,2562236
2014-01-15,2335194,2335194
2014-01-16,1835957,1835957
2014-01-17,1699534,1699534
2014-01-21,3008458,3008458
2014-01-22,2769350,2769350
2014-01-23,3063559,3063559
2014-01-24,2656341,2656341
2014-01-27,4669012,4669012
2014-01-28,2536290,2536290
2014-01-29,2163031,2163031
2014-01-30,3743153,3743153
2014-01-31,3529054,3529054
2014-02-03,2929252,2929252
2014-02-04,2911877,2911877
2014-02-05,2283870,2283870
2014-02-06,1609451,1609451
2014-02-07,1975290,1975290
2014-02-10,1760468,1760468
2014-02-11,2148202,2148202
2014-02-12,2347270,2347270
2014-02-13,3097011,3097011
2014-02-14,17862776,17862776
2014-02-18,6553839,6553839
2014-02-19,4838795,4838795
2014-02-20,4629755,4629755
2014-02-21,2407171,2407171
2014-02-24,2392783,2392783
2014-02-25,3375173,3375173
2014-02-26,2400946,2400946
2014-02-27,3123781,3123781
2014-02-28,2876261,2876261
2014-03-03,2488373,2488373
2014-03-04,2841919,2841919
2014-03-05,3113546,3113546
2014-03-06,5178833,5178833
2014-03-07,3247154,3247154
2014-03-10,2563418,2563418
2014-03-11,3421731,3421731
2014-03-12,1652324,1652324
2014-03-13,2318832,2318832
2014-03-14,1745218,1745218
2014-03-17,1437471,1437471
2014-03-18,1294681,1294681
2014-03-19,1804350,1804350
2014-03-20,1808447,1808447
2014-03-21,2762931,2762931
2014-03-24,1985703,1985703
2014-03-25,1727269,1727269
2014-03-26,2560731,2560731
2014-03-27,2972614,2972614
2014-03-28,2006941,2006941
2014-03-31,2190772,2190772
2014-04-01,2090720,2090720
2014-04-02,1919493,1919493
2014-04-03,1603010,1603010
2014-04-04,2307668,2307668
2014-04-07,2584538,2584538
2014-04-08,1842491,1842491
2014-04-09,2017519,2017519
2014-04-10,1966409,1966409
2014-04-11,2591968,2591968
2014-04-14,2840577,2840577
2014-04-15,2172515,2172515
2014-04-16,1243513,1243513
2014-04-17,2061997,2061997
2014-04-21,1185867,1185867
2014-04-22,1475541,1475541
2014-04-23,894232,894232
2014-04-24,1806441,1806441
2014-04-25,1580495,1580495
2014-04-28,3009046,3009046
2014-04-29,3359741,3359741
2014-04-30,1678627,1678627
2014-05-01,1472407,1472407
2014-05-02,2080946,2080946
2014-05-05,2087256,2087256
2014-05-06,2224227,2224227
2014-05-07,2219204,2219204
2014-05-08,2209139,2209139
2014-05-09,1287905,1287905
2014-05-12,2042132,2042132
2014-05-13,1465527,1465527
2014-05-14,2591684,2591684
2014-05-15,5740663,5740663
2014-05-16,2405753,2405753
2014-05-19,2742131,2742131
2014-05-20,1840126,1840126
2014-05-21,1102300,1102300
2014-05-22,1686139,1686139
2014-05-23,3510829,3510829
2014-05-27,1190619,1190619
2014-05-28,1807185,1807185
2014-05-29,1558720,1558720
2014-05-30,2547039,2547039
2014-06-02,1274846,1274846
2014-06-03,1842298,1842298
2014-06-04,1145664,1145664
2014-06-05,1833063,1833063
2014-06-06,1285879,1285879
2014-06-09,1188782,1188782
2014-06-10,1267805,1267805
2014-06-11,1410610,1410610
2014-06-12,1677989,1677989
2014-06-13,1054865,1054865
2014-06-16,1174434,1174434
2014-06-17,1328510,1328510
2014-06-18,1114749,1114749
2014-06-19,3149546,3149546
2014-06-20,2029378,2029378
2014-06-23,1435625,1435625
2014-06-24,1125825,1125825
2014-06-25,1060501,1060501
2014-06-26,1102367,1102367
2014-06-27,1519046,1519046
2014-06-30,1314906,1314906
2014-07-01,2010785,2010785
2014-07-02,1414957,1414957
2014-07-03,600744,600744
2014-07-07,949243,949243
2014-07-08,1615912,1615912
2014-07-09,1278504,1278504
2014-07-10,1189340,1189340
2014-07-11,1183288,1183288
2014-07-14,1487761,1487761
2014-07-15,2094496,2094496
2014-07-16,1868521,1868521
2014-07-17,4404085,4404085
2014-07-18,1706174,1706174
2014-07-21,1983914,1983914
2014-07-22,2411722,2411722
2014-07-23,1453645,1453645
2014-07-24,2534358,2534358
2014-07-25,1719615,1719615
2014-07-28,1510223,1510223
2014-07-29,2003109,2003109
2014-07-30,1371335,1371335
2014-07-31,2708121,2708121
2014-08-01,957560,957560
2014-08-04,957560,957560
2014-08-05,1733728,1733728
2014-08-06,1568834,1568834
2014-08-07,1628472,1628472
2014-08-08,1766002,1766002
2014-08-11,1252725,1252725
2014-08-12,2642075,2642075
2014-08-13,1721261,1721261
2014-08-14,3478558,3478558
2014-08-15,5578794,5578794
2014-08-18,2761606,2761606
2014-08-19,1192963,1192963
2014-08-20,1846569,1846569
2014-08-21,1228385,1228385
2014-08-22,1439567,1439567
2014-08-25,967137,967137
2014-08-26,888727,888727
2014-08-27,1193004,1193004
2014-08-28,1395449,1395449
2014-08-29,1979934,1979934
2014-09-02,2015566,2015566
2014-09-03,1478032,1478032
