Feature,Importance,Selected
bateria_lag2,0.11343706950421786,True
dirViento_lag3,0.07079520354991768,True
precipitacion_lag1,0.06702597286490355,False
velViento_lag4,0.052179686963284115,False
humedadMax_lag3,0.0467897256885925,False
dirVientoVelMax_lag4,0.039865957563007315,False
humedadMedia_lag3,0.03822442951485385,False
dirVientoVelMax_lag1,0.036468130939459165,False
tempMax_lag2,0.03486793157600396,False
humedadMedia_lag2,0.031147043635810546,False
velViento_lag1,0.03030277408839269,False
dia_lag3,0.029045748606135006,False
dia_lag2,0.028903820098995,False
dia_lag4,0.023447324053897205,False
velVientoMax_lag3,0.021924225760226478,False
dirViento_lag4,0.019866201674016856,False
tempMin_lag1,0.01980416870961297,False
tempMedia_lag2,0.019004222622340413,False
dirVientoVelMax_lag3,0.018726842324953218,False
dirVientoVelMax_lag2,0.01831907861824286,False
dia_lag1,0.016497347785206683,False
humedadMedia_lag4,0.016226474134237768,False
humedadMin_lag4,0.01607690219364666,False
velVientoMax_lag1,0.013562415985770477,False
velVientoMax_lag4,0.013356594413345777,False
tempMax_lag3,0.013156174053830667,False
tempMin_lag2,0.012014166784602242,False
radiacion_lag2,0.01196803363247171,False
radiacion_lag1,0.008861115384795122,False
tempMin_lag3,0.008588108877517122,False
humedadMax_lag2,0.00846800378447796,False
tempMin_lag4,0.00845804863547537,False
humedadMedia_lag1,0.008060187486457383,False
humedadMax_lag4,0.007489933416130413,False
velViento_lag3,0.007470323199793679,False
tempMax_lag1,0.006756533995606772,False
precipitacion_lag2,0.006619589437155614,False
tempMedia_lag3,0.006478653732325646,False
bateria_lag1,0.0054909748272397915,False
tempMedia_lag1,0.005453465560135734,False
bateria_lag3,0.005274411540166274,False
humedadMin_lag2,0.0048715070692436765,False
bateria_lag4,0.00486809310889872,False
humedadMin_lag3,0.00458943877152666,False
dirViento_lag2,0.004549256401306659,False
velVientoMax_lag2,0.003896171029144902,False
precipitacion_lag4,0.0030003340766951397,False
tempMax_lag4,0.002208411245843428,False
tempMedia_lag4,0.0016985921695490162,False
dirViento_lag1,0.0014639531003154947,False
velViento_lag2,0.0008729042571841969,False
humedadMax_lag1,0.0005887126176820339,False
humedadMin_lag1,0.00044148364239671243,False
radiacion_lag4,0.00020896959059315607,False
precipitacion_lag3,0.00013594603437271435,False
radiacion_lag3,0.00013320966799536992,False
