Feature,Importance,Selected
humedadMax_t-1,0.8934298144807243,True
humedadMedia_t-1,0.0518322115964784,True
humedadMedia_t-2,0.004792881060071814,False
tempMedia_t-2,0.004308426391224283,False
humedadMin_t-1,0.004217371048897077,False
tempMax_t-2,0.002916337823864051,False
humedadMin_t-2,0.0021216321954360628,False
humedadMin_t-6,0.001964669429916251,False
tempMedia_t-1,0.001723978923027704,False
humedadMax_t-2,0.0016991531632329809,False
velVientoMax_t-5,0.0016848076897425543,False
velVientoMax_t-6,0.001646296360933801,False
radiacion_t-6,0.0014856097098675484,False
humedadMedia_t-4,0.001303219284546437,False
dirVientoVelMax_t-6,0.001154826941539159,False
dirVientoVelMax_t-3,0.0011462156381652866,False
humedadMin_t-5,0.0010387652453494522,False
dirVientoVelMax_t-2,0.0009880440161262195,False
dia_t-5,0.0009536229209047528,False
dia_t-3,0.0009036796655638499,False
radiacion_t-2,0.0007281377943746477,False
radiacion_t-4,0.0006930591538291697,False
tempMax_t-5,0.0006819053071943829,False
radiacion_t-5,0.0006623917077829145,False
tempMedia_t-5,0.0005822306384098426,False
tempMax_t-4,0.0005728086198076781,False
dia_t-2,0.0005657492975632084,False
dia_t-6,0.000535457327448637,False
velViento_t-5,0.0005340749027143007,False
velViento_t-1,0.0005316127298392141,False
velViento_t-3,0.0005119919450527037,False
dia_t-1,0.0005117783475626823,False
dirVientoVelMax_t-1,0.0005094736684429674,False
radiacion_t-1,0.0005074899960187475,False
bateria_t-6,0.000495375242312827,False
humedadMedia_t-5,0.0004927312695124596,False
dirVientoVelMax_t-4,0.00048586278661747373,False
tempMax_t-3,0.0004704581531855704,False
tempMax_t-1,0.0004685553789070318,False
velViento_t-6,0.00042746517862473444,False
velVientoMax_t-1,0.00040944119334339286,False
dirViento_t-4,0.00039571196599023814,False
tempMin_t-4,0.0003817402056351963,False
humedadMedia_t-6,0.00036956743079278215,False
bateria_t-2,0.0003662343838218339,False
humedadMedia_t-3,0.00032302265022045063,False
velViento_t-2,0.0003088240560052541,False
humedadMax_t-4,0.0003070011203358465,False
humedadMin_t-3,0.0002996101574253767,False
dirViento_t-1,0.0002972135919369816,False
humedadMax_t-3,0.00025510247523769707,False
velVientoMax_t-3,0.0002511416281122453,False
humedadMin_t-4,0.0002465349314437852,False
tempMedia_t-6,0.0002450472858401299,False
tempMedia_t-4,0.0002330358403754996,False
velVientoMax_t-2,0.00021699370806871611,False
bateria_t-5,0.00021383585556701247,False
humedadMax_t-6,0.0001952396134224716,False
dia_t-4,0.00018170061457584377,False
tempMedia_t-3,0.00018132123190583768,False
tempMin_t-2,0.00017744992778943703,False
bateria_t-1,0.00017292177821055067,False
dirViento_t-2,0.00016350074651725062,False
tempMin_t-1,0.00014658581719299924,False
tempMax_t-6,0.00014233137977369992,False
dirViento_t-6,0.00012729047359818376,False
velViento_t-4,0.0001249785702531862,False
bateria_t-4,0.00011986482666023118,False
dirVientoVelMax_t-5,0.0001191585755879213,False
tempMin_t-6,0.0001117098132040445,False
tempMin_t-3,9.145601591174864e-05,False
precipitacion_t-1,8.771913716907497e-05,False
dirViento_t-3,8.682407311916557e-05,False
precipitacion_t-6,6.0759460549059256e-05,False
radiacion_t-3,5.7893633863849446e-05,False
tempMin_t-5,5.478789891047347e-05,False
dirViento_t-5,5.1654172947160306e-05,False
bateria_t-3,4.761993307160803e-05,False
humedadMax_t-5,4.425479182132736e-05,False
precipitacion_t-2,3.302115133569886e-05,False
precipitacion_t-5,7.587518188107495e-06,False
velVientoMax_t-4,6.05575036162673e-06,False
precipitacion_t-4,3.867168007969644e-06,False
precipitacion_t-3,2.2144150857809194e-06,False
