date,volume_t-1,low_t-18,volume_t-2,volume_t-4,volume_t-11,volume
2013-08-01,2745041,44.34,2807402,1962142,1999719,2745041
2013-08-02,2387817,44.51,2745041,2791858,1179308,2387817
2013-08-05,1875418,45.43,2387817,2807402,1836733,1875418
2013-08-06,2280909,45.5838,1875418,2745041,2934199,2280909
2013-08-07,1702122,45.68,2280909,2387817,1831121,1702122
2013-08-08,1702407,45.775,1702122,1875418,1420233,1702407
2013-08-09,1958449,45.57,1702407,2280909,3694988,1958449
2013-08-12,1247241,45.55,1958449,1702122,1962142,1247241
2013-08-13,2078213,45.69,1247241,1702407,2791858,2078213
2013-08-14,1989871,46.1,2078213,1958449,2807402,1989871
2013-08-15,6708341,46.31,1989871,1247241,2745041,6708341
2013-08-16,3624694,46.495,6708341,2078213,2387817,3624694
2013-08-19,1727559,46.39,3624694,1989871,1875418,1727559
2013-08-20,2294328,45.4322,1727559,6708341,2280909,2294328
2013-08-21,1949054,44.98,2294328,3624694,1702122,1949054
2013-08-22,3147986,44.82,1949054,1727559,1702407,3147986
2013-08-23,1702511,44.66,3147986,2294328,1958449,1702511
2013-08-26,2012701,45.32,1702511,1949054,1247241,2012701
2013-08-27,2138064,45.9901,2012701,3147986,2078213,2138064
2013-08-28,1590425,45.8,2138064,1702511,1989871,1590425
2013-08-29,1900662,45.61,1590425,2012701,6708341,1900662
2013-08-30,1358573,45.62,1900662,2138064,3624694,1358573
2013-09-03,1565632,45.64,1358573,1590425,1727559,1565632
2013-09-04,2522043,45.81,1565632,1900662,2294328,2522043
2013-09-05,1313188,45.72,2522043,1358573,1949054,1313188
2013-09-06,1332857,46.24,1313188,1565632,3147986,1332857
2013-09-09,1668867,46.37,1332857,2522043,1702511,1668867
2013-09-10,1821283,46.85,1668867,1313188,2012701,1821283
2013-09-11,1783424,46.52,1821283,1332857,2138064,1783424
2013-09-12,1468485,46.42,1783424,1668867,1590425,1468485
2013-09-13,2141143,46.17,1468485,1821283,1900662,2141143
2013-09-16,1861513,46.64,2141143,1783424,1358573,1861513
2013-09-17,1578387,46.8,1861513,1468485,1565632,1578387
2013-09-18,2044234,47.54,1578387,2141143,2522043,2044234
2013-09-19,18146408,47.39,2044234,1861513,1313188,18146408
2013-09-20,10692052,46.8,18146408,1578387,1332857,10692052
2013-09-23,2716907,46.51,10692052,2044234,1668867,2716907
2013-09-24,2185721,46.42,2716907,18146408,1821283,2185721
2013-09-25,2865074,46.37,2185721,10692052,1783424,2865074
2013-09-26,2680307,46.615,2865074,2716907,1468485,2680307
2013-09-27,2110103,46.74,2680307,2185721,2141143,2110103
