date,volume_t-18,volume_t-19,volume
2013-11-04,2426300,2430595,1409928
2013-11-05,1500903,2426300,1578131
2013-11-06,2110504,1500903,1432940
2013-11-07,1961896,2110504,3548823
2013-11-08,2450818,1961896,1860654
2013-11-11,3548418,2450818,1984482
2013-11-12,2880870,3548418,2357218
2013-11-13,2556379,2880870,2110086
2013-11-14,4280543,2556379,2825818
2013-11-15,2348591,4280543,11014343
2013-11-18,1785894,2348591,4131521
2013-11-19,2398266,1785894,2473023
2013-11-20,1778672,2398266,2321500
2013-11-21,1193955,1778672,2417644
2013-11-22,1360046,1193955,1910762
2013-11-25,1895510,1360046,1750170
2013-11-26,1931035,1895510,3196344
2013-11-27,1409928,1931035,1189764
2013-11-29,1578131,1409928,870409
2013-12-02,1432940,1578131,1459197
2013-12-03,3548823,1432940,2478051
2013-12-04,1860654,3548823,2415795
2013-12-05,1984482,1860654,1810391
2013-12-06,2357218,1984482,3053347
2013-12-09,2110086,2357218,2118503
2013-12-10,2825818,2110086,2326895
2013-12-11,11014343,2825818,2349926
2013-12-12,4131521,11014343,2714297
2013-12-13,2473023,4131521,2022610
2013-12-16,2321500,2473023,1685454
2013-12-17,2417644,2321500,3209227
2013-12-18,1910762,2417644,4136283
2013-12-19,1750170,1910762,1893211
2013-12-20,3196344,1750170,2954031
2013-12-23,1189764,3196344,1578464
2013-12-24,870409,1189764,779696
2013-12-26,1459197,870409,714431
2013-12-27,2478051,1459197,653055
2013-12-30,2415795,2478051,1127980
2013-12-31,1810391,2415795,941447
2014-01-02,3053347,1810391,1916160
2014-01-03,2118503,3053347,1866651
2014-01-06,2326895,2118503,1777472
2014-01-07,2349926,2326895,1463208
2014-01-08,2714297,2349926,2659468
2014-01-09,2022610,2714297,1757647
2014-01-10,1685454,2022610,1623330
2014-01-13,3209227,1685454,2946738
2014-01-14,4136283,3209227,2562236
2014-01-15,1893211,4136283,2335194
2014-01-16,2954031,1893211,1835957
2014-01-17,1578464,2954031,1699534
2014-01-21,779696,1578464,3008458
2014-01-22,714431,779696,2769350
2014-01-23,653055,714431,3063559
2014-01-24,1127980,653055,2656341
2014-01-27,941447,1127980,4669012
2014-01-28,1916160,941447,2536290
2014-01-29,1866651,1916160,2163031
2014-01-30,1777472,1866651,3743153
2014-01-31,1463208,1777472,3529054
2014-02-03,2659468,1463208,2929252
2014-02-04,1757647,2659468,2911877
2014-02-05,1623330,1757647,2283870
2014-02-06,2946738,1623330,1609451
2014-02-07,2562236,2946738,1975290
2014-02-10,2335194,2562236,1760468
2014-02-11,1835957,2335194,2148202
2014-02-12,1699534,1835957,2347270
2014-02-13,3008458,1699534,3097011
2014-02-14,2769350,3008458,17862776
2014-02-18,3063559,2769350,6553839
2014-02-19,2656341,3063559,4838795
2014-02-20,4669012,2656341,4629755
2014-02-21,2536290,4669012,2407171
2014-02-24,2163031,2536290,2392783
2014-02-25,3743153,2163031,3375173
2014-02-26,3529054,3743153,2400946
2014-02-27,2929252,3529054,3123781
2014-02-28,2911877,2929252,2876261
2014-03-03,2283870,2911877,2488373
2014-03-04,1609451,2283870,2841919
2014-03-05,1975290,1609451,3113546
2014-03-06,1760468,1975290,5178833
2014-03-07,2148202,1760468,3247154
2014-03-10,2347270,2148202,2563418
2014-03-11,3097011,2347270,3421731
2014-03-12,17862776,3097011,1652324
2014-03-13,6553839,17862776,2318832
2014-03-14,4838795,6553839,1745218
2014-03-17,4629755,4838795,1437471
2014-03-18,2407171,4629755,1294681
2014-03-19,2392783,2407171,1804350
2014-03-20,3375173,2392783,1808447
2014-03-21,2400946,3375173,2762931
2014-03-24,3123781,2400946,1985703
2014-03-25,2876261,3123781,1727269
2014-03-26,2488373,2876261,2560731
2014-03-27,2841919,2488373,2972614
2014-03-28,3113546,2841919,2006941
2014-03-31,5178833,3113546,2190772
2014-04-01,3247154,5178833,2090720
2014-04-02,2563418,3247154,1919493
2014-04-03,3421731,2563418,1603010
2014-04-04,1652324,3421731,2307668
2014-04-07,2318832,1652324,2584538
2014-04-08,1745218,2318832,1842491
2014-04-09,1437471,1745218,2017519
2014-04-10,1294681,1437471,1966409
2014-04-11,1804350,1294681,2591968
2014-04-14,1808447,1804350,2840577
2014-04-15,2762931,1808447,2172515
2014-04-16,1985703,2762931,1243513
2014-04-17,1727269,1985703,2061997
2014-04-21,2560731,1727269,1185867
2014-04-22,2972614,2560731,1475541
2014-04-23,2006941,2972614,894232
2014-04-24,2190772,2006941,1806441
2014-04-25,2090720,2190772,1580495
2014-04-28,1919493,2090720,3009046
2014-04-29,1603010,1919493,3359741
2014-04-30,2307668,1603010,1678627
2014-05-01,2584538,2307668,1472407
2014-05-02,1842491,2584538,2080946
2014-05-05,2017519,1842491,2087256
2014-05-06,1966409,2017519,2224227
2014-05-07,2591968,1966409,2219204
2014-05-08,2840577,2591968,2209139
2014-05-09,2172515,2840577,1287905
2014-05-12,1243513,2172515,2042132
2014-05-13,2061997,1243513,1465527
2014-05-14,1185867,2061997,2591684
2014-05-15,1475541,1185867,5740663
2014-05-16,894232,1475541,2405753
